waktu belajar;cukup atau tidak;kelas;is_cukup
80;tidak;Kelas D;0
175;tidak;Kelas D;0
105;tidak;Kelas C;0
100;tidak;Kelas C;0
210;tidak;Kelas D;0
60;tidak;Kelas D;0
210;ya;Kelas D;1
205;tidak;Kelas C;0
55;tidak;Kelas D;0
140;tidak;Kelas C;0
15;tidak;Kelas D;0
75;tidak;Kelas D;0
120;tidak;Kelas C;0
0;tidak;Kelas D;0
60;tidak;Kelas C;0
130;tidak;Kelas C;0
85;tidak;Kelas D;0
55;tidak;Kelas D;0
170;tidak;Kelas C;0
140;tidak;Kelas C;0
185;tidak;Kelas D;0
120;tidak;Kelas C;0
10;tidak;Kelas D;0
45;tidak;Kelas D;0
40;tidak;Kelas D;0
80;tidak;Kelas D;0
75;tidak;Kelas C;0
175;tidak;Kelas C;0
250;tidak;Kelas C;0
205;tidak;Kelas D;0
100;tidak;Kelas C;0
110;tidak;Kelas C;0
65;tidak;Kelas C;0
50;tidak;Kelas D;0
170;tidak;Kelas D;0
110;tidak;Kelas C;0
195;tidak;Kelas C;0
130;tidak;Kelas D;0
355;ya;Kelas C;1
65;tidak;Kelas C;0
130;tidak;Kelas C;0
35;tidak;Kelas C;0
100;tidak;Kelas C;0
60;tidak;Kelas D;0
95;tidak;Kelas C;0
15;tidak;Kelas C;0
50;tidak;Kelas C;0
155;ya;Kelas D;1
135;tidak;Kelas D;0
95;tidak;Kelas D;0
15;tidak;Kelas C;0
260;tidak;Kelas D;0
165;tidak;Kelas C;0
165;tidak;Kelas D;0
115;tidak;Kelas D;0
100;tidak;Kelas C;0
90;tidak;Kelas D;0
130;tidak;Kelas D;0
65;tidak;Kelas C;0
170;tidak;Kelas D;0
180;tidak;Kelas D;0
30;tidak;Kelas D;0
130;tidak;Kelas C;0
60;tidak;Kelas D;0
130;tidak;Kelas D;0
155;tidak;Kelas D;0
0;tidak;Kelas C;0
0;tidak;Kelas D;0
135;tidak;Kelas D;0
210;tidak;Kelas C;0
120;tidak;Kelas C;0
55;tidak;Kelas D;0
75;tidak;Kelas D;0
175;tidak;Kelas C;0
115;tidak;Kelas D;0
120;tidak;Kelas C;0
210;tidak;Kelas D;0
140;tidak;Kelas C;0
90;tidak;Kelas C;0
40;tidak;Kelas C;0
215;tidak;Kelas C;0
0;tidak;Kelas C;0
95;tidak;Kelas C;0
90;tidak;Kelas C;0
100;tidak;Kelas D;0
