waktu belajar;cukup atau tidak;kelas;is_cukup
80;tidak;D;0
175;tidak;D;0
105;tidak;C;0
100;tidak;C;0
210;tidak;D;0
60;tidak;D;0
210;ya;D;1
205;tidak;C;0
55;tidak;D;0
140;tidak;C;0
15;tidak;D;0
75;tidak;D;0
120;tidak;C;0
0;tidak;D;0
60;tidak;C;0
130;tidak;C;0
85;tidak;D;0
55;tidak;D;0
170;tidak;C;0
140;tidak;C;0
185;tidak;D;0
120;tidak;C;0
10;tidak;D;0
45;tidak;D;0
40;tidak;D;0
80;tidak;D;0
75;tidak;C;0
175;tidak;C;0
250;tidak;C;0
205;tidak;D;0
100;tidak;C;0
110;tidak;C;0
65;tidak;C;0
50;tidak;D;0
170;tidak;D;0
110;tidak;C;0
195;tidak;C;0
130;tidak;D;0
355;ya;C;1
65;tidak;C;0
130;tidak;C;0
35;tidak;C;0
100;tidak;C;0
60;tidak;D;0
95;tidak;C;0
15;tidak;C;0
50;tidak;C;0
155;ya;D;1
135;tidak;D;0
95;tidak;D;0
15;tidak;C;0
260;tidak;D;0
165;tidak;C;0
165;tidak;D;0
115;tidak;D;0
100;tidak;C;0
90;tidak;D;0
130;tidak;D;0
65;tidak;C;0
170;tidak;D;0
180;tidak;D;0
30;tidak;D;0
130;tidak;C;0
60;tidak;D;0
130;tidak;D;0
155;tidak;D;0
0;tidak;C;0
0;tidak;D;0
135;tidak;D;0
210;tidak;C;0
120;tidak;C;0
55;tidak;D;0
75;tidak;D;0
175;tidak;C;0
115;tidak;D;0
120;tidak;C;0
210;tidak;D;0
140;tidak;C;0
90;tidak;C;0
40;tidak;C;0
215;tidak;C;0
0;tidak;C;0
95;tidak;C;0
90;tidak;C;0
100;tidak;D;0
